Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.813653,0.775043,0.354398,0.793879,74,47,3140384299.000000,2517159518.000000,0.000000,1626,.,.,936.000000,649.000000,,1.4422187981510015,1323,.,.,781.000000,520.000000,,1.501923076923077,303,.,.,155.000000,129.000000,,1.2015503875968991,2706,.,.,1788.000000,876.000000,,2.041095890410959,1354,.,.,827.000000,524.000000,,1.5782442748091603,393,.,.,361.000000,24.000000,,15.041666666666666,959,.,.,600.000000,328.000000,,1.829268292682927
INDEL,*,*,PASS,*,QUAL,*,0.813653,0.775043,0.354398,0.793879,74,47,3140384299.000000,2517159518.000000,0.000000,1626,.,.,936.000000,649.000000,,1.4422187981510015,1323,.,.,781.000000,520.000000,,1.501923076923077,303,.,.,155.000000,129.000000,,1.2015503875968991,2706,.,.,1788.000000,876.000000,,2.041095890410959,1354,.,.,827.000000,524.000000,,1.5782442748091603,393,.,.,361.000000,24.000000,,15.041666666666666,959,.,.,600.000000,328.000000,,1.829268292682927
INDEL,*,TS_contained,ALL,*,QUAL,*,0.813653,0.775043,0.0,0.793879,74,47,2517159518.000000,2517159518.000000,0.000000,1626,.,.,936.000000,649.000000,,1.4422187981510015,1323,.,.,781.000000,520.000000,,1.501923076923077,303,.,.,155.000000,129.000000,,1.2015503875968991,1747,.,.,1188.000000,548.000000,,2.167883211678832,1354,.,.,827.000000,524.000000,,1.5782442748091603,393,.,.,361.000000,24.000000,,15.041666666666666,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.813653,0.775043,0.0,0.793879,74,47,2517159518.000000,2517159518.000000,0.000000,1626,.,.,936.000000,649.000000,,1.4422187981510015,1323,.,.,781.000000,520.000000,,1.501923076923077,303,.,.,155.000000,129.000000,,1.2015503875968991,1747,.,.,1188.000000,548.000000,,2.167883211678832,1354,.,.,827.000000,524.000000,,1.5782442748091603,393,.,.,361.000000,24.000000,,15.041666666666666,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2517159518.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2517159518.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2517159518.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2517159518.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2517159518.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2517159518.000000,2517159518.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.842105,0.888889,0.76,0.864865,0,0,3140384299.000000,2517159518.000000,0.000000,19,.,.,14.000000,3.000000,,4.666666666666667,16,.,.,12.000000,2.000000,,6.0,3,.,.,2.000000,1.000000,,2.0,75,.,.,60.000000,15.000000,,4.0,16,.,.,14.000000,2.000000,,7.0,2,.,.,2.000000,0.000000,,,57,.,.,44.000000,13.000000,,3.3846153846153846
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.842105,0.888889,0.76,0.864865,0,0,3140384299.000000,2517159518.000000,0.000000,19,.,.,14.000000,3.000000,,4.666666666666667,16,.,.,12.000000,2.000000,,6.0,3,.,.,2.000000,1.000000,,2.0,75,.,.,60.000000,15.000000,,4.0,16,.,.,14.000000,2.000000,,7.0,2,.,.,2.000000,0.000000,,,57,.,.,44.000000,13.000000,,3.3846153846153846
