Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.89139,0.743306,0.371992,0.81064,103,60,3140384299.000000,2512326500.000000,0.000000,1777,.,.,1039.000000,681.000000,,1.525697503671072,1584,.,.,980.000000,563.000000,,1.7406749555950267,193,.,.,59.000000,118.000000,,0.5,3449,.,.,2531.000000,849.000000,,2.9811542991755005,1610,.,.,1036.000000,563.000000,,1.8401420959147425,556,.,.,521.000000,17.000000,,30.647058823529413,1283,.,.,974.000000,269.000000,,3.620817843866171
INDEL,*,*,PASS,*,QUAL,*,0.89139,0.743306,0.371992,0.81064,103,60,3140384299.000000,2512326500.000000,0.000000,1777,.,.,1039.000000,681.000000,,1.525697503671072,1584,.,.,980.000000,563.000000,,1.7406749555950267,193,.,.,59.000000,118.000000,,0.5,3449,.,.,2531.000000,849.000000,,2.9811542991755005,1610,.,.,1036.000000,563.000000,,1.8401420959147425,556,.,.,521.000000,17.000000,,30.647058823529413,1283,.,.,974.000000,269.000000,,3.620817843866171
INDEL,*,TS_contained,ALL,*,QUAL,*,0.89139,0.743306,0.0,0.81064,103,60,2512326500.000000,2512326500.000000,0.000000,1777,.,.,1039.000000,681.000000,,1.525697503671072,1584,.,.,980.000000,563.000000,,1.7406749555950267,193,.,.,59.000000,118.000000,,0.5,2166,.,.,1557.000000,580.000000,,2.68448275862069,1610,.,.,1036.000000,563.000000,,1.8401420959147425,556,.,.,521.000000,17.000000,,30.647058823529413,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.89139,0.743306,0.0,0.81064,103,60,2512326500.000000,2512326500.000000,0.000000,1777,.,.,1039.000000,681.000000,,1.525697503671072,1584,.,.,980.000000,563.000000,,1.7406749555950267,193,.,.,59.000000,118.000000,,0.5,2166,.,.,1557.000000,580.000000,,2.68448275862069,1610,.,.,1036.000000,563.000000,,1.8401420959147425,556,.,.,521.000000,17.000000,,30.647058823529413,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2512326500.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2512326500.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2512326500.000000,2512326500.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2512326500.000000,2512326500.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2512326500.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2512326500.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
