Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.874346,0.818605,0.421265,0.845557,10,8,3140384299.000000,2528553267.000000,0.000000,382,.,.,235.000000,138.000000,,1.7028985507246377,334,.,.,218.000000,109.000000,,2.0,48,.,.,17.000000,29.000000,,0.5862068965517241,743,.,.,551.000000,186.000000,,2.9623655913978495,352,.,.,238.000000,111.000000,,2.144144144144144,78,.,.,76.000000,2.000000,,38.0,313,.,.,237.000000,73.000000,,3.2465753424657535
INDEL,*,*,PASS,*,QUAL,*,0.874346,0.818605,0.421265,0.845557,10,8,3140384299.000000,2528553267.000000,0.000000,382,.,.,235.000000,138.000000,,1.7028985507246377,334,.,.,218.000000,109.000000,,2.0,48,.,.,17.000000,29.000000,,0.5862068965517241,743,.,.,551.000000,186.000000,,2.9623655913978495,352,.,.,238.000000,111.000000,,2.144144144144144,78,.,.,76.000000,2.000000,,38.0,313,.,.,237.000000,73.000000,,3.2465753424657535
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,1,3140384299.000000,2528553267.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,1,3140384299.000000,2528553267.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,ALL,*,QUAL,*,0.874346,0.820513,0.0,0.846574,10,7,2528553267.000000,2528553267.000000,0.000000,382,.,.,235.000000,138.000000,,1.7028985507246377,334,.,.,218.000000,109.000000,,2.0,48,.,.,17.000000,29.000000,,0.5862068965517241,429,.,.,313.000000,113.000000,,2.769911504424779,352,.,.,238.000000,111.000000,,2.144144144144144,77,.,.,75.000000,2.000000,,37.5,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.874346,0.820513,0.0,0.846574,10,7,2528553267.000000,2528553267.000000,0.000000,382,.,.,235.000000,138.000000,,1.7028985507246377,334,.,.,218.000000,109.000000,,2.0,48,.,.,17.000000,29.000000,,0.5862068965517241,429,.,.,313.000000,113.000000,,2.769911504424779,352,.,.,238.000000,111.000000,,2.144144144144144,77,.,.,75.000000,2.000000,,37.5,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2528553267.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2528553267.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2528553267.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2528553267.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
