Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.857579,0.78843,0.367816,0.821552,66,43,3140384299.000000,2503763940.000000,0.000000,1636,.,.,916.000000,685.000000,,1.3372262773722627,1403,.,.,802.000000,577.000000,,1.389948006932409,233,.,.,114.000000,108.000000,,1.0555555555555556,2871,.,.,1969.000000,869.000000,,2.2658227848101267,1431,.,.,839.000000,586.000000,,1.431740614334471,384,.,.,356.000000,20.000000,,17.8,1056,.,.,774.000000,263.000000,,2.9429657794676807
INDEL,*,*,PASS,*,QUAL,*,0.857579,0.78843,0.367816,0.821552,66,43,3140384299.000000,2503763940.000000,0.000000,1636,.,.,916.000000,685.000000,,1.3372262773722627,1403,.,.,802.000000,577.000000,,1.389948006932409,233,.,.,114.000000,108.000000,,1.0555555555555556,2871,.,.,1969.000000,869.000000,,2.2658227848101267,1431,.,.,839.000000,586.000000,,1.431740614334471,384,.,.,356.000000,20.000000,,17.8,1056,.,.,774.000000,263.000000,,2.9429657794676807
INDEL,*,TS_contained,ALL,*,QUAL,*,0.857579,0.78843,0.0,0.821552,66,43,2503763940.000000,2503763940.000000,0.000000,1636,.,.,916.000000,685.000000,,1.3372262773722627,1403,.,.,802.000000,577.000000,,1.389948006932409,233,.,.,114.000000,108.000000,,1.0555555555555556,1815,.,.,1195.000000,606.000000,,1.971947194719472,1431,.,.,839.000000,586.000000,,1.431740614334471,384,.,.,356.000000,20.000000,,17.8,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.857579,0.78843,0.0,0.821552,66,43,2503763940.000000,2503763940.000000,0.000000,1636,.,.,916.000000,685.000000,,1.3372262773722627,1403,.,.,802.000000,577.000000,,1.389948006932409,233,.,.,114.000000,108.000000,,1.0555555555555556,1815,.,.,1195.000000,606.000000,,1.971947194719472,1431,.,.,839.000000,586.000000,,1.431740614334471,384,.,.,356.000000,20.000000,,17.8,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2503763940.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2503763940.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2503763940.000000,2503763940.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2503763940.000000,2503763940.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2503763940.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2503763940.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
