Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,prefix,patient,capture,sequencer,depth
INDEL,ALL,549,483,66,887,72,327,17,9,0.879781,0.871429,0.368658,0.875585,,,1.86096256684492,2.2509225092250924,HG001_hiseq4000_agilent_50x.haplotypecaller,HG001,agilent,hiseq4000,50
INDEL,PASS,549,483,66,887,72,327,17,9,0.879781,0.871429,0.368658,0.875585,,,1.86096256684492,2.2509225092250924,HG001_hiseq4000_agilent_50x.haplotypecaller,HG001,agilent,hiseq4000,50
SNP,ALL,21973,21364,609,26006,578,4064,73,60,0.972284,0.973658,0.156272,0.972971,3.007110300820419,2.813810291746078,1.5918102430965306,1.7843830334190232,HG001_hiseq4000_agilent_50x.haplotypecaller,HG001,agilent,hiseq4000,50
SNP,PASS,21973,21364,609,26006,578,4064,73,60,0.972284,0.973658,0.156272,0.972971,3.007110300820419,2.813810291746078,1.5918102430965306,1.7843830334190232,HG001_hiseq4000_agilent_50x.haplotypecaller,HG001,agilent,hiseq4000,50
INDEL,ALL,376,327,49,669,67,271,10,8,0.869681,0.831658,0.405082,0.850245,,,1.781954887218045,2.2610837438423643,HG001_hiseq4000_idt_50x.haplotypecaller,HG001,idt,hiseq4000,50
INDEL,PASS,376,327,49,669,67,271,10,8,0.869681,0.831658,0.405082,0.850245,,,1.781954887218045,2.2610837438423643,HG001_hiseq4000_idt_50x.haplotypecaller,HG001,idt,hiseq4000,50
SNP,ALL,20162,19307,855,23103,551,3245,63,58,0.957593,0.972253,0.140458,0.964868,3.0875557357113905,2.925938508578223,1.5809426229508197,1.7568955223880598,HG001_hiseq4000_idt_50x.haplotypecaller,HG001,idt,hiseq4000,50
SNP,PASS,20162,19307,855,23103,551,3245,63,58,0.957593,0.972253,0.140458,0.964868,3.0875557357113905,2.925938508578223,1.5809426229508197,1.7568955223880598,HG001_hiseq4000_idt_50x.haplotypecaller,HG001,idt,hiseq4000,50
INDEL,ALL,1777,1491,286,2907,496,903,96,60,0.839055,0.752495,0.31063,0.793421,,,1.525697503671072,2.4902676399026764,HG001_hiseq4000_truseq_50x.haplotypecaller,HG001,truseq,hiseq4000,50
INDEL,PASS,1777,1491,286,2907,496,903,96,60,0.839055,0.752495,0.31063,0.793421,,,1.525697503671072,2.4902676399026764,HG001_hiseq4000_truseq_50x.haplotypecaller,HG001,truseq,hiseq4000,50
SNP,ALL,30041,28936,1105,35217,1026,5251,130,83,0.963217,0.965761,0.149104,0.964487,2.7845088161209066,2.6220828621363217,1.6014900805683099,1.7575211532434973,HG001_hiseq4000_truseq_50x.haplotypecaller,HG001,truseq,hiseq4000,50
SNP,PASS,30041,28936,1105,35217,1026,5251,130,83,0.963217,0.965761,0.149104,0.964487,2.7845088161209066,2.6220828621363217,1.6014900805683099,1.7575211532434973,HG001_hiseq4000_truseq_50x.haplotypecaller,HG001,truseq,hiseq4000,50
INDEL,ALL,549,506,43,1117,139,463,20,18,0.921676,0.787462,0.414503,0.849299,,,1.86096256684492,3.169811320754717,HG001_novaseq_agilent_100x.haplotypecaller,HG001,agilent,novaseq,100
INDEL,PASS,549,506,43,1117,139,463,20,18,0.921676,0.787462,0.414503,0.849299,,,1.86096256684492,3.169811320754717,HG001_novaseq_agilent_100x.haplotypecaller,HG001,agilent,novaseq,100
SNP,ALL,21973,21617,356,27483,770,5096,64,78,0.983798,0.965605,0.185424,0.974617,3.007110300820419,2.739763297510543,1.5918102430965306,1.9185169446510146,HG001_novaseq_agilent_100x.haplotypecaller,HG001,agilent,novaseq,100
SNP,PASS,21973,21617,356,27483,770,5096,64,78,0.983798,0.965605,0.185424,0.974617,3.007110300820419,2.739763297510543,1.5918102430965306,1.9185169446510146,HG001_novaseq_agilent_100x.haplotypecaller,HG001,agilent,novaseq,100
INDEL,ALL,549,507,42,1088,144,429,17,10,0.923497,0.781487,0.394301,0.846578,,,1.86096256684492,3.146153846153846,HG001_novaseq_agilent_50x.haplotypecaller,HG001,agilent,novaseq,50
INDEL,PASS,549,507,42,1088,144,429,17,10,0.923497,0.781487,0.394301,0.846578,,,1.86096256684492,3.146153846153846,HG001_novaseq_agilent_50x.haplotypecaller,HG001,agilent,novaseq,50
SNP,ALL,21973,21578,395,27287,714,4995,62,70,0.982023,0.967971,0.183054,0.974946,3.007110300820419,2.745574310415809,1.5918102430965306,1.9067561807331628,HG001_novaseq_agilent_50x.haplotypecaller,HG001,agilent,novaseq,50
SNP,PASS,21973,21578,395,27287,714,4995,62,70,0.982023,0.967971,0.183054,0.974946,3.007110300820419,2.745574310415809,1.5918102430965306,1.9067561807331628,HG001_novaseq_agilent_50x.haplotypecaller,HG001,agilent,novaseq,50
INDEL,ALL,549,504,45,1090,131,447,22,16,0.918033,0.796267,0.410092,0.852826,,,1.86096256684492,3.1945525291828796,HG001_novaseq_agilent_75x.haplotypecaller,HG001,agilent,novaseq,75
INDEL,PASS,549,504,45,1090,131,447,22,16,0.918033,0.796267,0.410092,0.852826,,,1.86096256684492,3.1945525291828796,HG001_novaseq_agilent_75x.haplotypecaller,HG001,agilent,novaseq,75
SNP,ALL,21973,21607,366,27458,761,5090,69,78,0.983343,0.965978,0.185374,0.974583,3.007110300820419,2.7302729865543935,1.5918102430965306,1.9236259054111633,HG001_novaseq_agilent_75x.haplotypecaller,HG001,agilent,novaseq,75
SNP,PASS,21973,21607,366,27458,761,5090,69,78,0.983343,0.965978,0.185374,0.974583,3.007110300820419,2.7302729865543935,1.5918102430965306,1.9236259054111633,HG001_novaseq_agilent_75x.haplotypecaller,HG001,agilent,novaseq,75
INDEL,ALL,376,327,49,706,59,312,11,4,0.869681,0.850254,0.441926,0.859858,,,1.781954887218045,2.723404255319149,HG001_novaseq_idt_100x.haplotypecaller,HG001,idt,novaseq,100
INDEL,PASS,376,327,49,706,59,312,11,4,0.869681,0.850254,0.441926,0.859858,,,1.781954887218045,2.723404255319149,HG001_novaseq_idt_100x.haplotypecaller,HG001,idt,novaseq,100
SNP,ALL,20162,19431,731,23788,669,3694,67,70,0.963744,0.966706,0.155288,0.965223,3.0875557357113905,2.8774645592308947,1.5809426229508197,1.8148455072806913,HG001_novaseq_idt_100x.haplotypecaller,HG001,idt,novaseq,100
SNP,PASS,20162,19431,731,23788,669,3694,67,70,0.963744,0.966706,0.155288,0.965223,3.0875557357113905,2.8774645592308947,1.5809426229508197,1.8148455072806913,HG001_novaseq_idt_100x.haplotypecaller,HG001,idt,novaseq,100
INDEL,ALL,376,322,54,717,81,310,13,5,0.856383,0.800983,0.432357,0.827757,,,1.781954887218045,2.767195767195767,HG001_novaseq_idt_50x.haplotypecaller,HG001,idt,novaseq,50
INDEL,PASS,376,322,54,717,81,310,13,5,0.856383,0.800983,0.432357,0.827757,,,1.781954887218045,2.767195767195767,HG001_novaseq_idt_50x.haplotypecaller,HG001,idt,novaseq,50
